id,password,last_login,is_superuser,groups,user_permissions,is_staff,is_active,date_joined,email,first_name,last_name,snu_id
3,pbkdf2_a,,0,,,0,0,,3@2.com,Mary,Nell,nx673
4,pbkdf2_n,,0,,,0,0,,4@0.com,Anna,Alberta,ta978
5,pbkdf2_m,,0,,,0,0,,5@2.com,Emma,Katharine,ly557
6,pbkdf2_l,,0,,,0,0,,6@1.com,Elizabeth,Lora,ro729
7,pbkdf2_i,,0,,,0,0,,7@2.com,Minnie,Rena,ld810
8,pbkdf2_a,,0,,,0,0,,8@2.com,Margaret,Mina,io835
9,pbkdf2_d,,0,,,0,0,,9@2.com,Ida,Rhoda,sz576
10,pbkdf2_l,,0,,,0,0,,10@2.com,Alice,Mathilda,lk522
11,pbkdf2_e,,0,,,0,0,,11@2.com,Bertha,Abbie,ta638
12,pbkdf2_a,,0,,,0,0,,12@2.com,Sarah,Eula,vn842
13,pbkdf2_n,,0,,,0,0,,13@2.com,Annie,Dollie,gw936
14,pbkdf2_l,,0,,,0,0,,14@2.com,Clara,Hettie,xp622
15,pbkdf2_l,,0,,,0,0,,15@2.com,Ella,Eunice,oo585
16,pbkdf2_l,,0,,,0,0,,16@3.com,Florence,Fanny,hu987
17,pbkdf2_o,,0,,,0,0,,17@2.com,Cora,Ola,ks668
18,pbkdf2_a,,0,,,0,0,,18@2.com,Martha,Lenora,pk942
19,pbkdf2_a,,0,,,0,0,,19@1.com,Laura,Adelaide,bl890
20,pbkdf2_e,,0,,,0,0,,20@0.com,Nellie,Christina,sv746
21,pbkdf2_r,,0,,,0,0,,21@2.com,Grace,Lelia,ir638
22,pbkdf2_a,,0,,,0,0,,22@2.com,Carrie,Nelle,rm509
23,pbkdf2_a,,0,,,0,0,,23@1.com,Maude,Sue,ck578
24,pbkdf2_a,,0,,,0,0,,24@2.com,Mabel,Johanna,tq839
25,pbkdf2_e,,0,,,0,0,,25@2.com,Bessie,Lilly,wo712
26,pbkdf2_e,,0,,,0,0,,26@1.com,Jennie,Lucinda,tb665
27,pbkdf2_e,,0,,,0,0,,27@3.com,Gertrude,Minerva,yi536
28,pbkdf2_u,,0,,,0,0,,28@3.com,Julia,Lettie,so830
